,Name,Record,Height,Weight,Reach,DOB,SLpM,Str Acc,SApM,Str Def,TD Avg,TD Acc,TD Def,Sub Avg,wins,draws,losses,age,STANCE_Orthodox,STANCE_Southpaw,STANCE_Switch,ELO
3550,Ben Saunders,Record: 22-13-2,74.0,170.0,77.0,1983-04-13,3.23,0.5,3.58,0.51,0.2,0.4,0.66,1.3,22,2,13,42,True,False,False,0.15153543184306095
3552,Tatiana Suarez,Record: 12-1-0,65.0,115.0,66.0,1990-12-19,2.95,0.6,1.58,0.45,4.41,0.43,0.8,0.6,12,0,1,35,False,True,False,1.303237619354536
3553,Jose Delgado,Record: 10-2-0,71.0,145.0,74.0,1998-04-21,8.22,0.54,5.44,0.47,1.81,0.42,0.6,0.0,10,0,2,27,False,False,True,1.3545430979960333
3554,Juan Puerta,Record: 23-6-0,69.0,125.0,71.0,1988-01-20,1.27,0.39,1.27,0.67,1.0,1.0,0.0,0.0,23,0,6,37,False,True,False,0.6872400726198746
3557,Adam Bramhald,Record: 13-3-0,70.0,135.0,70.0,1994-03-24,7.65,0.45,8.05,0.33,0.0,0.0,1.0,0.0,13,0,3,31,True,False,False,-0.5007581684427614
3558,Bogdan Guskov,Record: 18-3-0,75.0,205.0,76.0,1992-09-12,4.17,0.55,3.3,0.45,0.0,0.0,0.57,1.1,18,0,3,33,True,False,False,0.44559548557057604
3560,Elvis Mutapcic,Record: 15-6-1,72.0,185.0,72.0,1986-07-19,3.41,0.4,4.27,0.38,0.0,0.0,0.81,0.0,15,1,6,39,True,False,False,-0.22205583469652063
3561,Wes Schultz,Record: 8-2-0,74.0,185.0,77.0,1996-08-09,5.39,0.46,4.74,0.48,5.57,0.4,0.0,1.4,8,0,2,29,True,False,False,1.1510745691036819
3562,Eduarda Moura,Record: 12-1-0,66.0,125.0,67.0,1994-02-28,3.04,0.37,2.47,0.61,3.73,0.37,0.8,0.3,12,0,1,31,True,False,False,1.3085203204317575
3563,Gilbert Urbina,Record: 7-5-0,75.0,170.0,75.0,1996-04-05,5.57,0.56,4.62,0.44,2.86,0.44,0.0,0.7,7,0,5,29,True,False,False,0.9406164281827524
3567,Nicco Montano,Record: 5-3-0,65.0,135.0,65.0,1988-12-16,5.6,0.41,4.43,0.64,2.25,0.54,0.69,0.4,5,0,3,37,False,True,False,0.5446096659799516
3568,Cristian Quinonez,Record: 18-5-0,68.0,135.0,70.0,1996-04-26,4.19,0.4,4.55,0.55,1.37,0.37,0.84,0.0,18,0,5,29,True,False,False,0.5383397303375305
3574,Chelsea Chandler,Record: 6-4-0,68.0,135.0,68.0,1990-11-23,3.55,0.45,4.44,0.4,0.87,0.6,0.28,0.0,6,0,4,35,False,True,False,0.307948425829916
3575,Alexis Davis,Record: 21-11-0,66.0,135.0,68.0,1984-10-04,4.63,0.49,4.45,0.54,0.95,0.44,0.34,0.7,21,0,11,41,True,False,False,0.29844577190247734
3577,Adrian Yanez,Record: 17-6-0,67.0,135.0,70.0,1993-11-29,6.23,0.41,5.75,0.54,0.0,0.0,0.81,0.0,17,0,6,32,True,False,False,-0.03335457635041098
3579,Kris McCray,Record: 8-5-0,72.0,170.0,76.0,1981-09-24,2.69,0.45,2.57,0.54,2.88,0.55,0.38,0.0,8,0,5,44,True,False,False,0.1967868307296882
3580,Robert Sanchez,Record: 8-2-0,66.0,125.0,66.0,1986-03-05,0.96,0.4,1.78,0.46,3.61,0.62,0.5,0.7,8,0,2,39,True,False,False,0.4295052657006191
3583,Justin Jaynes,Record: 16-8-0,67.0,145.0,68.0,1989-08-10,3.34,0.44,5.33,0.62,0.75,0.4,0.2,1.1,16,0,8,36,True,False,False,0.43025922782759196
3586,Jack Becker,Record: 13-6-0,70.0,155.0,71.0,1992-12-20,1.01,0.39,5.82,0.26,1.68,0.5,0.0,0.0,13,0,6,33,True,False,False,0.799775161007861
3587,Amiran Gogoladze,Record: 14-3-0,73.0,170.0,74.0,1997-12-09,1.64,0.66,0.82,0.0,0.0,0.0,0.0,0.0,14,0,3,28,False,False,True,0.0
3588,Daniel Frunza,Record: 9-4-0,73.0,170.0,73.0,1994-04-13,3.25,0.38,4.32,0.5,0.0,0.0,0.5,0.0,9,0,4,31,True,False,False,-0.2664997881473503
3590,Phillip Latu,Record: 6-2-0,75.0,205.0,76.0,1991-02-17,3.4,0.51,7.07,0.31,0.0,0.0,1.0,0.0,6,0,2,34,True,False,False,-0.8887468380460909
3591,Laureano Staropoli,Record: 9-5-0,73.0,185.0,71.0,1993-02-27,3.31,0.34,3.73,0.54,0.83,0.26,0.48,0.0,9,0,5,32,True,False,False,0.2833172439894774
3592,Tomasz Drwal,Record: 21-5-1,73.0,205.0,76.0,1982-01-22,3.29,0.38,2.26,0.57,3.55,0.6,0.82,0.4,21,1,5,43,True,False,False,0.4564162450319914
3593,Lawrence Lui,Record: 7-1-0,67.0,135.0,72.0,1996-08-04,3.9,0.43,3.03,0.63,4.13,0.35,1.0,0.0,7,0,1,29,True,False,False,1.1855353886516424
3594,Mitch Ramirez,Record: 8-3-0,71.0,155.0,71.0,1992-11-03,3.51,0.44,3.98,0.37,0.59,0.33,0.25,0.0,8,0,3,33,True,False,False,0.2695084682465179
3595,Victor Reyna,Record: 11-5-0 (1 NC),71.0,170.0,74.0,1986-08-05,5.8,0.63,4.75,0.42,0.0,0.0,1.0,0.0,11,0,5,39,False,True,False,0.11211948538582212
3596,Danny Castillo,Record: 17-10-0,69.0,155.0,71.0,1979-08-25,2.57,0.42,1.96,0.62,2.95,0.38,0.63,0.2,17,0,10,46,True,False,False,0.18123588794369067
3597,Isabela de Padua,Record: 5-2-0,63.0,125.0,64.0,1991-09-04,1.0,0.35,2.07,0.5,2.0,0.66,0.0,1.0,5,0,2,34,True,False,False,0.6365355537307846
3598,Ashkan Mokhtarian,Record: 13-3-0,66.0,125.0,67.0,1985-09-15,1.95,0.43,3.66,0.43,0.54,0.16,0.33,0.0,13,0,3,40,False,True,False,0.020333402193588312
3600,Muslim Salikhov,Record: 22-6-0,71.0,170.0,70.0,1984-06-09,3.37,0.49,2.96,0.62,1.07,0.32,0.72,0.0,22,0,6,41,True,False,False,0.28126532118057646
3604,Roman Dolidze,Record: 15-4-0,74.0,185.0,76.0,1988-07-15,3.41,0.41,3.72,0.48,0.99,0.39,0.26,0.8,15,0,4,37,True,False,False,0.49451009139772745
3608,Dominick Cruz,Record: 24-4-0,68.0,135.0,68.0,1985-03-09,3.91,0.33,2.61,0.7,2.82,0.42,0.83,0.1,24,0,4,40,True,False,False,0.7630639216878287
3609,Stefan Struve,Record: 33-13-0,83.0,265.0,84.0,1988-02-18,3.12,0.47,4.04,0.46,0.56,0.46,0.55,1.7,33,0,13,37,True,False,False,0.4111415360477056
3611,Yuji Ephoevi-Ga,Record: 11-1-0,72.0,155.0,75.0,1999-10-19,2.67,0.71,2.6,0.44,0.0,0.0,0.6,0.0,11,0,1,26,False,False,True,-0.04631299579122643
3613,Ray Rodriguez,Record: 16-8-0,67.0,135.0,70.0,1987-12-10,0.9,0.27,3.89,0.4,1.42,0.5,0.44,0.0,16,0,8,38,True,False,False,0.12841001245327788
3614,Rami Hamed,Record: 13-3-0,73.0,170.0,71.0,1991-04-25,3.87,0.51,3.4,0.5,0.0,0.0,0.5,0.0,13,0,3,34,True,False,False,0.02330469588632927
3616,Trevin Giles,Record: 16-7-0,72.0,170.0,74.0,1992-08-06,3.17,0.54,2.39,0.58,1.07,0.5,0.72,0.3,16,0,7,33,True,False,False,0.896512000553141
3619,Istela Nunes,Record: 6-6-0 (1 NC),64.0,115.0,66.0,1992-07-23,4.28,0.47,4.07,0.59,0.0,0.0,0.47,0.0,6,0,6,33,True,False,False,-0.025299176662458435
3620,Norifumi Yamamoto,Record: 18-6-0 (2 NC),64.0,135.0,66.0,1977-03-15,2.09,0.45,2.01,0.57,0.41,0.22,0.45,0.0,18,0,6,48,False,True,False,0.029135268681120763
3622,Jose Torres,Record: 8-1-0,64.0,125.0,65.0,1992-08-02,4.37,0.36,9.84,0.5,1.28,0.33,0.75,0.0,8,0,1,33,True,False,False,-0.6364944737128918
3625,James Bochnovic,Record: 8-3-0,76.0,205.0,81.0,1989-02-13,0.65,0.26,3.64,0.21,0.0,0.0,0.0,0.0,8,0,3,36,True,False,False,0.0
3627,Mike Massenzio,Record: 13-9-0,74.0,185.0,73.0,1982-11-01,2.08,0.45,3.59,0.54,2.74,0.24,0.5,1.4,13,0,9,43,False,True,False,0.2001093284705655
3629,Brandon Jenkins,Record: 15-9-0,72.0,155.0,71.0,1991-09-30,2.93,0.41,8.05,0.33,0.0,0.0,0.27,0.0,15,0,9,34,False,False,True,-0.5521723647638161
3631,Kazuhiro Nakamura,Record: 21-13-0,71.0,205.0,70.0,1979-07-16,1.56,0.37,1.83,0.59,1.73,0.36,0.42,0.6,21,0,13,46,True,False,False,0.12750717432957717
3632,Shem Rock,Record: 12-2-1,71.0,155.0,73.0,1993-11-05,2.93,0.42,3.4,0.56,1.0,0.11,0.8,0.0,12,1,2,32,False,True,False,0.19246731579054333
3634,Christina Marks,Record: 8-9-0,67.0,125.0,69.0,1985-11-08,5.0,0.58,3.0,0.64,7.5,1.0,0.0,0.0,8,0,9,40,True,False,False,0.4917669357832966
3635,Luke Cummo,Record: 6-6-0,72.0,170.0,74.0,1980-04-27,1.74,0.43,1.5,0.59,0.89,0.55,0.42,1.4,6,0,6,45,True,False,False,0.12274453967637826
3636,Damon Jackson,Record: 23-8-1 (1 NC),71.0,155.0,71.0,1988-08-08,2.96,0.42,3.47,0.49,2.3,0.32,0.37,1.2,23,1,8,37,False,False,True,0.6960682839717711
3638,Rodrigo Sezinando,Record: 9-2-0,69.0,170.0,71.0,1997-12-11,2.25,0.27,8.76,0.42,3.37,0.25,0.66,0.0,9,0,2,28,True,False,False,-0.39396119054620027
3641,Matheus Nicolau,Record: 19-6-1,66.0,125.0,66.0,1993-01-06,3.31,0.51,2.98,0.65,1.22,0.43,0.9,0.8,19,1,6,32,True,False,False,0.9358892695574438
3643,Malcolm Gordon,Record: 14-8-0,67.0,125.0,71.0,1990-05-19,2.5,0.45,2.0,0.43,1.72,0.35,0.26,1.0,14,0,8,35,False,False,True,0.8001927815715437
3645,Joey Gomez,Record: 7-1-0,70.0,155.0,71.0,1989-08-29,3.73,0.49,3.33,0.5,2.0,0.28,0.0,0.0,7,0,1,36,True,False,False,0.47797410232451404
3646,MarQuel Mederos,Record: 11-1-0,70.0,155.0,69.0,1996-11-30,4.84,0.56,2.99,0.58,0.0,0.0,0.83,0.0,11,0,1,29,True,False,False,0.5213808657637367
3648,Josh Grispi,Record: 14-5-0,71.0,145.0,74.0,1988-10-14,1.44,0.41,3.71,0.5,1.97,0.36,0.16,2.2,14,0,5,37,True,False,False,0.6533603790451558
3649,Jared Rosholt,Record: 14-4-0,74.0,265.0,75.0,1986-08-04,2.08,0.46,1.52,0.59,1.83,0.41,0.66,0.1,14,0,4,39,True,False,False,0.5287208016096978
3650,Sho Patrick Usami,Record: 4-1-0,69.0,155.0,70.0,2000-05-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,25,True,False,False,0.0
3651,Michael Chandler,Record: 23-10-0,68.0,155.0,71.0,1986-04-24,4.04,0.49,4.52,0.43,1.96,0.41,0.61,0.6,23,0,10,39,True,False,False,0.42249650692403473
3652,Zhu Kangjie,Record: 21-4-0 (1 NC),68.0,145.0,70.0,1996-01-16,2.89,0.48,1.33,0.7,0.33,1.0,0.51,0.0,21,0,4,29,True,False,False,1.2928105198561486
3653,Chris Wilson,Record: 18-10-0 (1 NC),73.0,170.0,75.0,1977-06-07,2.32,0.5,1.36,0.55,1.31,0.5,0.6,1.6,18,0,10,48,True,False,False,0.11611186618352516
3655,Hailey Cowan,Record: 7-4-0,68.0,135.0,67.0,1992-02-12,2.5,0.42,2.79,0.33,1.63,0.36,0.8,0.0,7,0,4,33,False,True,False,0.43126181461493135
3656,Rob McCullough,Record: 19-8-0,69.0,155.0,69.0,1977-05-26,2.47,0.36,2.84,0.59,0.46,1.0,0.68,0.0,19,0,8,48,True,False,False,0.058164465870492114
3658,Magomed Mustafaev,Record: 14-4-0,68.0,155.0,71.0,1988-08-02,2.59,0.58,2.68,0.41,3.31,0.5,0.23,0.4,14,0,4,37,True,False,False,0.7814521788612009
3660,Stephen Regman,Record: 9-4-0,71.0,185.0,76.0,1991-08-05,1.41,0.6,4.93,0.23,3.52,1.0,0.0,0.0,9,0,4,34,True,False,False,0.9228136714406029
3664,CJ Hamilton,Record: 11-4-0,67.0,125.0,68.0,1986-10-07,2.47,0.31,3.93,0.58,0.0,0.0,0.62,0.0,11,0,4,39,False,False,True,-0.22168687389179495
3665,Sidney Outlaw,Record: 8-4-0,68.0,170.0,74.0,1992-04-11,0.13,0.33,0.8,0.71,3.0,0.75,0.0,3.0,8,0,4,33,True,False,False,0.9754528340554988
3666,Trey Waters,Record: 9-2-0,77.0,170.0,77.0,1995-02-21,6.39,0.44,5.83,0.55,0.4,0.33,0.85,0.8,9,0,2,30,True,False,False,0.5054206114019071
3667,Chico Camus,Record: 17-7-0 (1 NC),66.0,125.0,66.0,1985-01-26,2.58,0.41,2.46,0.64,0.77,0.4,0.72,0.4,17,0,7,40,True,False,False,0.2871157813107771
3670,Chuck Liddell,Record: 21-8-0,74.0,205.0,76.0,1969-12-17,2.97,0.35,2.71,0.56,0.44,0.75,0.81,0.0,21,0,8,56,True,False,False,0.0059949678910288925
3671,Valmir Lazaro,Record: 15-5-0,72.0,155.0,73.0,1985-08-15,4.87,0.37,4.09,0.61,1.33,0.4,0.96,0.0,15,0,5,40,True,False,False,0.410555482070853
3672,Frank Trigg,Record: 21-9-0,69.0,170.0,71.0,1972-05-07,2.79,0.46,1.9,0.56,2.35,0.47,0.75,0.8,21,0,9,53,False,True,False,0.03248822723751476
3675,Mantas Kondratavicius,Record: 8-1-0,74.0,185.0,75.0,1999-07-17,4.55,0.33,3.64,0.6,13.64,1.0,0.0,0.0,8,0,1,26,True,False,False,1.1646361012962203
3677,Rose Namajunas,Record: 15-7-0,65.0,125.0,65.0,1992-06-29,3.6,0.41,3.38,0.63,1.49,0.5,0.62,0.4,15,0,7,33,True,False,False,0.8194862828180555
3680,Jonathan Goulet,Record: 23-12-0 (1 NC),72.0,170.0,73.0,1979-07-13,1.61,0.41,2.01,0.46,4.17,0.7,0.45,0.6,23,0,12,46,True,False,False,0.1823134289042603
3686,Austin Lingo,Record: 9-3-0,70.0,145.0,70.0,1994-07-10,3.86,0.37,4.86,0.57,0.43,0.66,0.75,0.0,9,0,3,31,True,False,False,0.11942790881781186
3687,Christian Lohsen,Record: 4-2-0,74.0,155.0,77.0,1995-01-24,5.27,0.49,6.93,0.44,0.0,0.0,0.0,2.0,4,0,2,30,False,True,False,0.3366996024843464
3688,Tagir Ulanbekov,Record: 17-3-0,67.0,125.0,70.0,1991-08-07,3.01,0.48,3.44,0.5,2.73,0.39,0.63,1.5,17,0,3,34,False,True,False,0.953085618238676
3689,Dan Hardy,Record: 25-10-0 (1 NC),72.0,170.0,74.0,1982-05-17,2.46,0.35,3.44,0.51,0.73,0.35,0.35,0.4,25,0,10,43,True,False,False,0.12357387221583235
3690,Rashid Magomedov,Record: 20-2-0,69.0,155.0,70.0,1984-11-29,4.4,0.49,3.05,0.54,0.67,0.57,0.89,0.2,20,0,2,41,True,False,False,0.4695038038776144
3693,Forrest Griffin,Record: 19-7-0,75.0,205.0,77.0,1979-03-16,4.38,0.36,2.81,0.61,1.05,0.48,0.57,0.7,19,0,7,46,True,False,False,0.17958643190185783
3694,Shamar Bailey,Record: 16-11-0,69.0,155.0,75.0,1982-09-22,1.56,0.2,3.91,0.69,1.5,0.33,0.37,0.0,16,0,11,43,False,True,False,0.09098361633437207
3695,Erisson Ferreira,Record: 12-2-0,66.0,125.0,70.0,1991-05-03,1.75,0.32,2.75,0.56,1.11,1.0,0.66,1.7,12,0,2,34,True,False,False,0.6653911865545911
3697,Charles McCarthy,Record: 10-5-0,70.0,185.0,71.0,1980-08-06,0.18,0.12,4.03,0.56,2.67,0.6,0.0,2.7,10,0,5,45,True,False,False,0.2059991793670798
3698,Michael Morales,Record: 19-0-0,72.0,170.0,79.0,1999-06-24,5.68,0.49,3.26,0.53,1.04,0.41,0.89,0.0,19,0,0,26,True,False,False,1.7514023984066374
3699,Ricky Glenn,Record: 22-9-2,72.0,170.0,70.0,1989-04-12,3.79,0.42,4.3,0.51,0.72,0.13,0.69,0.4,22,2,9,36,False,True,False,0.16232425144861337
3700,Elizeu Zaleski dos Santos,Record: 25-10-1,71.0,170.0,73.0,1986-12-11,4.16,0.41,3.56,0.55,0.79,0.2,0.67,0.4,25,1,10,39,True,False,False,0.3394739624074926
3703,Grigory Popov,Record: 13-3-0,67.0,135.0,68.0,1984-04-18,3.63,0.37,4.2,0.55,0.0,0.0,0.45,0.0,13,0,3,41,False,False,True,-0.0700978522546028
3706,Ruel Panales,Record: 6-2-0 (1 NC),65.0,125.0,67.0,1996-12-07,2.53,0.51,5.6,0.46,1.0,0.2,0.5,0.0,6,0,2,29,False,True,False,-0.1481324785666556
3707,Juliana Lima,Record: 9-5-0,65.0,115.0,65.0,1982-03-15,1.94,0.44,2.11,0.55,1.72,0.31,0.7,0.0,9,0,5,43,True,False,False,0.15909508440951428
3711,Kyle Bochniak,Record: 8-5-0,67.0,145.0,70.0,1987-02-05,2.63,0.31,5.11,0.58,1.14,0.15,0.62,0.0,8,0,5,38,True,False,False,-0.08892718981033447
3714,Rashad Coulter,Record: 9-4-0,71.0,205.0,76.0,1981-11-27,4.82,0.56,6.68,0.5,0.0,0.0,0.62,0.0,9,0,4,44,True,False,False,-0.11814126235831623
3717,Yin Shuai,Record: 18-6-0,65.0,125.0,66.0,1997-01-01,4.42,0.43,4.22,0.54,4.33,0.41,0.83,0.0,18,0,6,28,False,True,False,1.3773558282691063
3718,Jenel Lausa,Record: 7-5-0,65.0,125.0,68.0,1988-08-01,1.44,0.42,3.53,0.53,0.55,0.66,0.51,0.8,7,0,5,37,True,False,False,0.14284803537015048
3719,Molly McCann,Record: 14-8-0,64.0,115.0,62.0,1990-05-04,5.28,0.49,4.65,0.62,1.78,0.36,0.38,0.5,14,0,8,35,True,False,False,0.7515627325934643
3720,Vinicius Oliveira,Record: 23-3-0,69.0,135.0,70.0,1995-11-30,5.28,0.43,2.89,0.57,1.67,0.5,0.8,0.2,23,0,3,30,False,False,True,1.994723574814581
3723,Rich Attonito,Record: 10-5-0,70.0,170.0,72.0,1977-06-16,2.28,0.47,2.13,0.59,0.74,0.37,0.75,0.0,10,0,5,48,True,False,False,0.041607858904215284
3726,Cristian Perez,Record: 13-2-0,69.0,155.0,72.0,1999-08-17,1.31,0.44,3.23,0.41,3.46,0.37,1.0,1.1,13,0,2,26,True,False,False,0.38505715756164294
3727,Brok Weaver,Record: 15-6-0,72.0,155.0,73.0,1991-12-05,4.78,0.64,4.35,0.46,0.41,0.1,0.66,0.4,15,0,6,34,False,True,False,0.30366753593879986
3730,Charlie Ontiveros,Record: 11-9-0,74.0,155.0,74.0,1991-07-04,1.89,0.41,5.86,0.31,0.0,0.0,0.3,0.0,11,0,9,34,False,False,True,-0.4326955824545023
3731,Bruno Souza,Record: 10-3-0,70.0,145.0,70.0,1996-03-07,3.73,0.39,5.3,0.45,0.5,0.16,0.6,0.0,10,0,3,29,True,False,False,-0.18953534717823003
3736,Emil Meek,Record: 9-5-1 (1 NC),71.0,170.0,74.0,1988-08-20,2.52,0.39,2.53,0.38,0.25,0.33,0.47,1.0,9,1,5,37,False,False,True,0.2884439419533424
3737,Ben Nguyen,Record: 16-8-0,65.0,125.0,65.0,1988-08-03,3.51,0.4,3.01,0.59,0.25,0.33,0.63,1.0,16,0,8,37,False,False,True,0.4187851024535391
3738,Mark Madsen,Record: 12-2-0,68.0,155.0,72.0,1984-09-23,3.56,0.49,3.97,0.52,2.86,0.66,0.62,0.0,12,0,2,41,True,False,False,0.34632960225879506
3740,Kaik Brito,Record: 16-5-0,71.0,170.0,72.0,1997-03-26,2.8,0.38,3.87,0.55,0.0,0.0,0.55,2.0,16,0,5,28,True,False,False,0.22454694815432022
3741,Benson Henderson,Record: 24-7-0,69.0,170.0,70.0,1983-11-16,2.93,0.45,1.79,0.63,2.4,0.45,0.63,0.8,24,0,7,42,False,True,False,0.496620018902307
3742,Eliezer Kubanza,Record: 7-1-0,69.0,170.0,74.0,1997-12-23,2.11,0.5,6.97,0.37,0.0,0.0,1.0,0.0,7,0,1,28,True,False,False,-1.3610514895615071
3743,Elias Urbina,Record: 3-1-0,75.0,185.0,77.0,1993-10-09,3.85,0.37,6.17,0.5,0.0,0.0,0.0,0.0,3,0,1,32,False,True,False,0.0
3744,Zak Cummings,Record: 25-7-0,72.0,205.0,75.0,1984-08-02,2.96,0.35,2.91,0.55,0.62,0.28,0.66,0.6,25,0,7,41,False,True,False,0.22282436869944688
3746,Jesse Taylor,Record: 31-15-0,72.0,170.0,73.0,1983-01-02,1.94,0.65,0.55,0.38,7.28,0.5,1.0,3.1,31,0,15,42,True,False,False,0.6614526006098082
3747,Enrique Barzola,Record: 17-5-2,67.0,145.0,70.0,1989-04-28,3.91,0.41,2.97,0.68,4.2,0.45,0.66,0.3,17,2,5,36,True,False,False,1.1031592284765912
3749,Khusein Askhabov,Record: 23-1-0,68.0,145.0,69.0,1995-02-13,2.0,0.26,4.13,0.56,0.0,0.0,0.66,0.0,23,0,1,30,True,False,False,-0.8723688556797617
3751,Austin Bashi,Record: 14-1-0,66.0,145.0,70.0,2001-09-29,1.75,0.47,2.34,0.48,7.81,0.41,0.62,1.7,14,0,1,24,True,False,False,1.187838433200062
3754,Daniel Pineda,Record: 28-17-0 (3 NC),67.0,145.0,69.0,1985-08-06,2.85,0.49,3.26,0.45,1.42,0.24,0.54,1.5,28,0,17,40,True,False,False,0.36077200579690083
3756,Austin Arnett,Record: 16-6-0,72.0,145.0,72.0,1991-10-22,4.52,0.41,6.38,0.62,0.44,0.18,0.57,0.2,16,0,6,34,True,False,False,-0.2006050539040121
3757,Jim Alers,Record: 13-3-0 (1 NC),69.0,145.0,71.0,1986-10-14,2.9,0.4,4.38,0.56,2.26,0.41,0.8,0.3,13,0,3,39,True,False,False,0.2052415698229316
3758,Roland Delorme,Record: 9-5-0 (1 NC),69.0,135.0,71.0,1983-12-18,2.28,0.44,4.32,0.4,2.51,0.34,0.42,1.6,9,0,5,42,True,False,False,0.20290164274485264
3762,Justin Sumter,Record: 7-3-0,74.0,185.0,80.0,1989-11-16,2.68,0.48,7.64,0.34,2.87,1.0,0.0,0.0,7,0,3,36,False,True,False,0.6613915569531943
3766,Shang Zhifa,Record: 32-8-0,67.0,125.0,63.0,1986-03-15,1.27,0.32,1.27,0.6,2.0,1.0,0.0,0.0,32,0,8,39,True,False,False,0.6600811997374753
3768,TJ Brown,Record: 17-11-0,69.0,145.0,72.0,1990-05-22,3.37,0.44,2.89,0.49,3.41,0.57,0.36,1.3,17,0,11,35,False,False,True,1.0360738541584484
3773,Henry Cejudo,Record: 16-5-0,64.0,135.0,64.0,1987-02-09,3.82,0.47,3.46,0.59,1.84,0.31,0.76,0.1,16,0,5,38,True,False,False,0.5341874534747071
3774,Charlie Campbell,Record: 9-3-0,72.0,155.0,72.0,1995-07-03,5.23,0.51,4.17,0.55,2.45,0.36,0.62,0.0,9,0,3,30,True,False,False,1.0345701406299896
3775,Jamie Moyle,Record: 4-3-0,61.0,115.0,65.0,1989-03-17,4.51,0.51,4.0,0.65,1.0,0.21,0.5,0.0,4,0,3,36,True,False,False,0.2425375105014054
3776,Jared Gooden,Record: 23-10-0,72.0,170.0,77.0,1993-12-05,4.4,0.48,6.74,0.45,0.91,0.45,0.65,0.4,23,0,10,32,True,False,False,-0.055801336066330566
3778,Nicolle Caliari,Record: 8-4-0,63.0,125.0,62.0,1996-11-04,3.46,0.38,7.01,0.53,2.88,0.24,0.0,1.0,8,0,4,29,True,False,False,0.9826053815988346
3779,Rafael Tobias,Record: 14-1-0,74.0,205.0,74.0,2003-03-20,3.45,0.3,3.98,0.4,3.98,1.0,0.0,4.0,14,0,1,22,True,False,False,1.2313402750115263
3781,Johnny Bedford,Record: 21-13-1 (1 NC),70.0,135.0,71.0,1983-01-06,4.53,0.5,1.75,0.63,1.83,0.62,0.62,0.0,21,1,13,42,True,False,False,0.5233405545601075
3782,Sung Bin Jo,Record: 9-1-0,72.0,145.0,72.0,1992-07-17,1.4,0.33,2.67,0.51,1.0,0.33,0.83,1.0,9,0,1,33,True,False,False,0.2235890123232417
3784,Jack Cartwright,Record: 10-1-0,69.0,135.0,68.0,1994-05-26,0.8,0.38,3.33,0.29,6.0,0.66,0.0,2.0,10,0,1,31,True,False,False,1.2376362555941434
3785,Miranda Granger,Record: 7-3-0,67.0,115.0,68.0,1992-04-13,2.79,0.47,2.57,0.57,0.0,0.0,0.33,0.0,7,0,3,33,True,False,False,-0.0035158741781169886
3786,Julianna Pena,Record: 13-6-0,66.0,135.0,69.0,1989-08-19,3.1,0.44,2.56,0.57,1.7,0.54,0.24,0.8,13,0,6,36,True,False,False,0.7451557035189196
3787,Aaron Riley,Record: 30-14-1,68.0,155.0,69.0,1980-12-09,3.45,0.34,3.78,0.61,1.18,0.34,0.6,0.1,30,1,14,45,False,True,False,0.09855672957138716
3788,Landon Quinones,Record: 7-3-1,69.0,155.0,70.0,1995-11-21,6.77,0.4,7.7,0.55,0.5,0.33,1.0,0.0,7,1,3,30,False,True,False,-0.20402964882682112
3792,Mike Wilkinson,Record: 9-4-0,67.0,145.0,66.0,1987-09-15,2.35,0.38,3.7,0.35,0.92,0.14,0.55,0.9,9,0,4,38,True,False,False,0.13717369561513099
3793,Alan Belcher,Record: 18-8-0,74.0,185.0,75.0,1984-04-24,2.7,0.41,3.1,0.59,0.44,0.26,0.55,0.9,18,0,8,41,True,False,False,0.16571989779967583
3794,Kyle Daukaus,Record: 17-4-0 (1 NC),74.0,185.0,76.0,1993-02-27,3.32,0.53,2.9,0.42,2.08,0.25,0.82,2.1,17,0,4,32,False,True,False,1.2678630743428905
3795,Charlie Valencia,Record: 12-7-0,63.0,135.0,64.0,1974-10-31,2.58,0.37,2.61,0.77,1.4,0.53,0.75,0.5,12,0,7,51,True,False,False,0.031804283626091966
3797,Jeff Monson,Record: 60-26-1,69.0,247.0,74.0,1971-01-18,0.97,0.3,2.87,0.59,1.06,0.12,0.66,0.7,60,1,26,54,True,False,False,0.0013692436643317387
3799,Phil Rowe,Record: 11-6-0,75.0,170.0,80.0,1990-07-18,3.5,0.5,4.12,0.51,0.52,0.36,0.5,0.3,11,0,6,35,True,False,False,0.22551949562329066
3801,Justin McCully,Record: 11-5-2,73.0,225.0,73.0,1976-02-18,1.58,0.37,2.02,0.46,1.28,0.44,0.43,0.0,11,2,5,49,True,False,False,0.04106987396033211
3803,Carmelo Marrero,Record: 16-6-0 (1 NC),72.0,205.0,73.0,1981-01-26,0.84,0.34,2.04,0.54,3.21,0.36,0.36,0.9,16,0,6,44,True,False,False,0.23127090642602322
3804,Myktybek Orolbai,Record: 15-2-1,70.0,170.0,74.0,1998-02-10,3.24,0.48,3.31,0.5,5.48,0.45,0.4,0.6,15,1,2,27,True,False,False,1.4393961906276047
3805,John Phillips,Record: 22-11-0 (1 NC),71.0,185.0,75.0,1985-06-09,1.72,0.34,4.03,0.49,0.0,0.0,0.07,0.0,22,0,11,40,False,True,False,-0.0369680500460344
3807,Victor Henry,Record: 25-7-0 (1 NC),67.0,135.0,68.0,1987-05-04,7.17,0.53,5.19,0.48,1.04,0.42,0.81,0.3,25,0,7,38,False,False,True,0.802642806914084
